,Poem Title,line
270,LEMUEL KAYHART,"Here’s to their parents who shed silent tears,"
271,LEMUEL KAYHART,"Here’s to the maid with a heart full of woe,"
272,LEMUEL KAYHART,Here’s to the lass who can say yes or no.
273,LEMUEL KAYHART,
274,LEMUEL KAYHART,"Here’s to our cousins, our uncles and aunts,"
275,LEMUEL KAYHART,"Here’s to the boy with his first pair of pants,"
276,LEMUEL KAYHART,"Here’s to the youth whom many boys know,"
277,LEMUEL KAYHART,Who looks in the glass to see his hair grow.
278,LEMUEL KAYHART,
279,LEMUEL KAYHART,"Here’s to the man, too honest to cheat,"
280,LEMUEL KAYHART,"Here’s to the butcher who sells us good meat,"
281,LEMUEL KAYHART,"May he live long and happy with plentiful store,"
282,LEMUEL KAYHART,"And when we’re all hungry, stop at our door."
283,LEMUEL KAYHART,
284,LEMUEL KAYHART,"Here’s to our parents, we speak it with cheer,"
285,LEMUEL KAYHART,"Of all of our kindred we love them most dear,"
286,LEMUEL KAYHART,"They nursed and they watched us in childhood and youth,"
287,LEMUEL KAYHART,They guided our footsteps in justice and truth.
288,LEMUEL KAYHART,
289,LEMUEL KAYHART,"Here’s to the man without any wife,"
290,LEMUEL KAYHART,"May he soon take a partner to comfort his life,"
291,LEMUEL KAYHART,"Here’s to his children whenever they come,"
292,LEMUEL KAYHART,They’ll make him more noise than Hessey’s big drum.
293,LEMUEL KAYHART,
294,LEMUEL KAYHART,"Here’s to the man with his millions of cash,"
295,LEMUEL KAYHART,"Here’s to the beggar who begs for his hash,"
296,LEMUEL KAYHART,"Here’s to the man who has plenty to give,"
297,LEMUEL KAYHART,Here’s to the man who works hard to live.
298,LEMUEL KAYHART,
299,LEMUEL KAYHART,"Here’s to the doctor and here’s to the priest,"
300,LEMUEL KAYHART,"Here’s to the heathen far out in the east,"
301,LEMUEL KAYHART,"Here’s to the lawyer and here’s to the judge,"
302,LEMUEL KAYHART,Here’s to the devil who owes them a grudge.
303,LEMUEL KAYHART,
304,LEMUEL KAYHART,"Here’s to the statesman who’s honest and true,"
305,LEMUEL KAYHART,"Here’s to the sheriff who hung old Guiteau,"
306,LEMUEL KAYHART,"Here’s to the Giant and Commodore Dot,"
307,LEMUEL KAYHART,Here’s to the people whom I’ve forgot.
308,LEMUEL KAYHART,
309,LEMUEL KAYHART,"Here’s to the pilgrims—our father’s band,—"
310,LEMUEL KAYHART,"Who crossed the wide ocean to free us a land,"
311,LEMUEL KAYHART,"Here’s to their courage, the world it outstrips,"
312,LEMUEL KAYHART,Here’s to the heroes of Seventy-six.
313,LEMUEL KAYHART,
