,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
1021,PG23900,In Flanders Fields,"McCrae, John",1872.0,1918.0,['en'],144,"'World War, 1914-1918 -- Poetry'",Sound,1914-1918 -- Poetry'
1029,PG23934,The Road,"Sassoon, Siegfried",1886.0,1967.0,['en'],79,"'World War, 1914-1918 -- Poetry'",Sound,1914-1918 -- Poetry'
1286,PG27126,'All's Well!',"Oxenham, John",1852.0,1941.0,['en'],89,"'World War, 1914-1918 -- Poetry'",Text,1914-1918 -- Poetry'
1524,PG315,Rhymes of a Red Cross Man,"Service, Robert W. (Robert William)",1874.0,1958.0,['en'],203,"'World War, 1914-1918 -- Poetry'",Text,1914-1918 -- Poetry'
1606,PG3255,Moments of Vision and Miscellaneous Verses,"Hardy, Thomas",1840.0,1928.0,['en'],72,"'World War, 1914-1918 -- Poetry', 'English poetry'",Text,1914-1918 -- Poetry'
1649,PG33681,Poems of the Great War: Published on the Behalf of the Prince of Wales's National Relief Fund,Various,,,['en'],39,"'World War, 1914-1918 -- Poetry'",Text,1914-1918 -- Poetry'
1680,PG34269,"Rookie rhymes, by the men of the 1st and 2nd provisional training regiments, Plattsburg, New York",Plattsburgh Barracks (N.Y.),,,['en'],26,"'World War, 1914-1918 -- Poetry', 'American poetry -- Collections'",Text,1914-1918 -- Poetry'
1710,PG34966,Eidola,"Manning, Frederic",1882.0,1935.0,['en'],24,"'World War, 1914-1918 -- Poetry'",Text,1914-1918 -- Poetry'
1733,PG353,"In Flanders Fields, and Other Poems","McCrae, John",1872.0,1918.0,['en'],255,"'World War, 1914-1918 -- Poetry', 'McCrae, John, 1872-1918', 'English poetry', 'Patriotic poetry'",Text,1914-1918 -- Poetry'
1761,PG35780,"Two Fishers, and Other Poems","Palmer, Herbert E. (Herbert Edward)",1880.0,1961.0,['en'],13,"'World War, 1914-1918 -- Poetry', 'English poetry'",Text,1914-1918 -- Poetry'
1768,PG35996,"The Dawn Patrol, and other poems of an aviator","Bewsher, Paul",1894.0,1966.0,['en'],21,"'World War, 1914-1918 -- Poetry', 'Aeronautics -- Poetry'",Text,1914-1918 -- Poetry'
1780,PG36094,"Our Boys, and Other Poems","Strang, Alan L.",1908.0,1919.0,['en'],13,"'World War, 1914-1918 -- Poetry', 'American poetry'",Text,1914-1918 -- Poetry'
1839,PG37154,Songs of Heroic Days,"O'Hagan, Thomas",1855.0,1939.0,['en'],20,"'World War, 1914-1918 -- Poetry'",Text,1914-1918 -- Poetry'
