,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
535,PG17735,"Eyes of Youth: A Book of Verse by Padraic Colum, Shane Leslie, Viola Meynell, Ruth Lindsay, Hugh Austin, Judith Lytton, Olivia Meynell, Maurice Healy, Monica Saleeby & Francis Meynell. With four early poems by Francis Thompson & a foreword by Gilbert K. Chesterton",Various,,,['en'],31,"'English poetry -- 20th century', 'English poetry -- 19th century', 'English poetry -- Irish authors'",Text,'English poetry -- 19th century'
577,PG1852,Lucile,"Lytton, Edward Robert Bulwer Lytton, Earl of",1831.0,1891.0,['en'],64,'English poetry -- 19th century',Text,'English poetry -- 19th century'
773,PG20742,O May I Join the Choir Invisible! and Other Favorite Poems,"Browning, Elizabeth Barrett",1806.0,1861.0,['en'],100,'English poetry -- 19th century',Text,'English poetry -- 19th century'
813,PG2136,The Tale of Balen,"Swinburne, Algernon Charles",1837.0,1909.0,['en'],38,'English poetry -- 19th century',Text,'English poetry -- 19th century'
900,PG22650,The Defence of Guenevere and Other Poems,"Morris, William",1834.0,1896.0,['en'],211,"'Arthurian romances -- Adaptations', 'English poetry -- 19th century'",Text,'English poetry -- 19th century'
902,PG22668,Poems of To-Day: an Anthology,Various,,,['en'],45,"'English poetry -- 20th century', 'English poetry -- 19th century'",Text,'English poetry -- 19th century'
927,PG2303,Legends and Lyrics. Part 1,"Procter, Adelaide Anne",1825.0,1864.0,['en'],158,'English poetry -- 19th century',Text,'English poetry -- 19th century'
928,PG2304,Legends and Lyrics. Part 2,"Procter, Adelaide Anne",1825.0,1864.0,['en'],27,'English poetry -- 19th century',Text,'English poetry -- 19th century'
987,PG23597,Beauties of Tennyson,"Tennyson, Alfred Tennyson, Baron",1809.0,1892.0,['en'],65,'English poetry -- 19th century',Text,'English poetry -- 19th century'
996,PG23684,Keats: Poems Published in 1820,"Keats, John",1795.0,1821.0,['en'],872,'English poetry -- 19th century',Text,'English poetry -- 19th century'
1072,PG24280,Endymion: A Poetic Romance,"Keats, John",1795.0,1821.0,['en'],639,"'English poetry -- 19th century', 'Endymion (Greek mythology) -- Poetry', 'Love poetry, Romance'",Text,'English poetry -- 19th century'
1089,PG24449,"Queen Summer; Or, The Tourney of the Lily and the Rose","Crane, Walter",1845.0,1915.0,['en'],65,"'Knights and knighthood -- Juvenile poetry', 'Flowers -- Juvenile poetry', 'Tournaments, Medieval -- Juvenile poetry', 'English poetry -- 19th century', 'Chivalry -- Juvenile poetry', 'Queens -- Juvenile poetry'",Text,'English poetry -- 19th century'
1135,PG2490,Lamia,"Keats, John",1795.0,1821.0,['en'],2126,'English poetry -- 19th century',Text,'English poetry -- 19th century'
1252,PG26715,Victorian Songs: Lyrics of the Affections and Nature,,,,['en'],269,"'Ballads, English -- Texts', 'English poetry -- 19th century'",Text,'English poetry -- 19th century'
1255,PG26785,Modern British Poetry,,,,['en'],264,"'English poetry -- 20th century', 'English poetry -- 19th century'",Text,'English poetry -- 19th century'
1304,PG2732,Ballads,"Thackeray, William Makepeace",1811.0,1863.0,['en'],59,'English poetry -- 19th century',Text,'English poetry -- 19th century'
1334,PG27739,Poetical Works of Matthew Arnold,"Arnold, Matthew",1822.0,1888.0,['en'],57,'English poetry -- 19th century',Text,'English poetry -- 19th century'
1399,PG29090,The Complete Poetical Works of Samuel Taylor Coleridge. Vol 1 and 2,"Coleridge, Samuel Taylor",1772.0,1834.0,['en'],238,'English poetry -- 19th century',Text,'English poetry -- 19th century'
1400,PG29091,The Complete Poetical Works of Samuel Taylor Coleridge. Vol 1 (of 2),"Coleridge, Samuel Taylor",1772.0,1834.0,['en'],96,'English poetry -- 19th century',Text,'English poetry -- 19th century'
1401,PG29092,The Complete Poetical Works of Samuel Taylor Coleridge. Vol 2 (of 2),"Coleridge, Samuel Taylor",1772.0,1834.0,['en'],94,'English poetry -- 19th century',Text,'English poetry -- 19th century'
1462,PG30451,A Day with Keats,"Byron, May",1861.0,1936.0,['en'],34,"'Keats, John, 1795-1821', 'English poetry -- 19th century'",Text,'English poetry -- 19th century'
1489,PG31015,"The Poetical Works of Elizabeth Barrett Browning, Volume 4","Browning, Elizabeth Barrett",1806.0,1861.0,['en'],101,"'Poetry, Modern -- 19th century', 'English poetry -- 19th century'",Text,'English poetry -- 19th century'
1589,PG32459,The Poetical Works of William Wordsworth — Volume 4 (of 8),"Wordsworth, William",1770.0,1850.0,['en'],86,"'English poetry -- 19th century', 'English poetry -- 18th century'",Text,'English poetry -- 19th century'
1618,PG32990,A Day with Lord Byron,"Byron, May",1861.0,1936.0,['en'],51,"'English poetry -- 19th century', 'Poets, English -- 19th century -- Biography', 'Byron, George Gordon Byron, Baron, 1788-1824'",Text,'English poetry -- 19th century'
1631,PG33363,"The Poetical Works of Elizabeth Barrett Browning, Volume 2","Browning, Elizabeth Barrett",1806.0,1861.0,['en'],145,"'Poetry, Modern -- 19th century', 'English poetry -- 19th century'",Text,'English poetry -- 19th century'
