,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
1638,PG33533,"The Convict's Farewell: with Advice to Criminals, before and after Trial","Parkerson, James",,,['en'],24,'English poetry',Text,'English poetry'
1654,PG33732,Sketches in Verse: respectfully addressed to the Norfolk Yeomenry,"Parkerson, James",,,['en'],14,'English poetry',Text,'English poetry'
1699,PG3477,The Verse-Book of a Homely Woman,"Inchfawn, Fay",1880.0,1978.0,['en'],54,"'Housewives -- Poetry', 'English poetry'",Text,'English poetry'
1717,PG35115,"Wine, Water, and Song","Chesterton, G. K. (Gilbert Keith)",1874.0,1936.0,['en'],84,'English poetry',Text,'English poetry'
1729,PG35287,"Awd Isaac, The Steeple Chase, and Other Poems: With a glossary of the Yorkshire Dialect","Castillo, John",1792.0,1845.0,['en'],23,"'English poetry -- England -- Yorkshire', 'English language -- Dialects', 'English language -- Dialects -- England -- Yorkshire', 'English poetry', 'Yorkshire (England) -- Poetry'",Text,'English poetry'
1734,PG353,"In Flanders Fields, and Other Poems","McCrae, John",1872.0,1918.0,['en'],255,"'World War, 1914-1918 -- Poetry', 'McCrae, John, 1872-1918', 'English poetry', 'Patriotic poetry'",Text,'English poetry'
1736,PG35402,Poems & Ballads (First Series),"Swinburne, Algernon Charles",1837.0,1909.0,['en'],251,"'Ballads, English', 'English poetry'",Text,'English poetry'
1739,PG3545,The Complete Poetical Works of Oliver Goldsmith,"Goldsmith, Oliver",,1774.0,['en'],104,"'Literature -- Collections', 'English poetry'",Text,'English poetry'
1762,PG35780,"Two Fishers, and Other Poems","Palmer, Herbert E. (Herbert Edward)",1880.0,1961.0,['en'],13,"'World War, 1914-1918 -- Poetry', 'English poetry'",Text,'English poetry'
1890,PG37804,"The Poetical Works of Robert Bridges, Excluding the Eight Dramas","Bridges, Robert",1844.0,1930.0,['en'],89,'English poetry',Text,'English poetry'
1917,PG38438,The Melody of Earth: An Anthology of Garden and Nature Poems From Present-Day Poets,,,,['en'],27,"'English poetry', 'Nature in literature', 'Gardens -- Poetry'",Text,'English poetry'
1919,PG38463,A Selection from the Works of Frederick Locker,"Locker-Lampson, Frederick",1821.0,1895.0,['en'],231,'English poetry',Text,'English poetry'
1929,PG38565,"Cornish Catches, and Other Verses","Moore, Bernard",1873.0,,['en'],19,"'English poetry', 'Cornwall (England : County) -- Poetry', 'Dialect poetry, English -- England -- Cornwall (County)'",Text,'English poetry'
1942,PG38880,"The Land of Song, Book 2. For lower grammar grades",,,,['en'],46,"'English poetry', 'American poetry'",Text,'English poetry'
1959,PG39236,In the Saddle: A Collection of Poems on Horseback-Riding,Various,,,['en'],27,"'Horsemanship -- Poetry', 'English poetry'",Text,'English poetry'
1968,PG39496,Poems on Travel,,,,['en'],39,"'Voyages and travels -- Poetry', 'English poetry', 'Poetry of places'",Text,'English poetry'
1987,PG39804,Thalaba the Destroyer,"Southey, Robert",1774.0,1843.0,['en'],229,'English poetry',Text,'English poetry'
2016,PG40444,"The Union: Or, Select Scots and English Poems",,,,['en'],28,"'Scotland -- Poetry', 'English poetry'",Text,'English poetry'
2037,PG41016,"The Land of Song, Book 3. For upper grammar grades",,,,['en'],39,"'English poetry', 'American poetry'",Text,'English poetry'
2045,PG41215,Selected Poems of Francis Thompson,"Thompson, Francis",1859.0,1907.0,['en'],107,'English poetry',Text,'English poetry'
2050,PG41466,The Daffodil Fields,"Masefield, John",1878.0,1967.0,['en'],34,'English poetry',Text,'English poetry'
2051,PG41467,The Everlasting Mercy,"Masefield, John",1878.0,1967.0,['en'],92,'English poetry',Text,'English poetry'
2052,PG41468,The Widow in the Bye Street,"Masefield, John",1878.0,1967.0,['en'],51,'English poetry',Text,'English poetry'
